geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
1785781,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,玉林市,,Asia/Shanghai,0
1785952,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,乐清,,Asia/Shanghai,0
1786112,zh-CN,AS,亚洲,CN,中国,GD,广东,,,河源市,,Asia/Shanghai,0
1786217,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,永州,,Asia/Shanghai,0
1786378,zh-CN,AS,亚洲,CN,中国,CQ,重庆,,,永川,,Asia/Shanghai,0
1786559,zh-CN,AS,亚洲,CN,中国,SX,山西,,,金城,,Asia/Shanghai,0
1786577,zh-CN,AS,亚洲,CN,中国,JX,江西,,,鹰潭市,,Asia/Shanghai,0
1786634,zh-CN,AS,亚洲,CN,中国,GD,广东,,,英城,,Asia/Shanghai,0
1786657,zh-CN,AS,亚洲,CN,中国,NX,宁夏回族自治区,,,银川市,,Asia/Shanghai,0
1786760,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,宜城,,Asia/Shanghai,0
1786764,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,宜昌市,,Asia/Shanghai,0
1786770,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,宜宾,,Asia/Shanghai,0
1787093,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,烟台市,,Asia/Shanghai,0
1787227,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,扬州市,,Asia/Shanghai,0
1787279,zh-CN,AS,亚洲,CN,中国,HA,河南,,,原阳城关镇,,Asia/Shanghai,0
1787353,zh-CN,AS,亚洲,CN,中国,SX,山西,,,羊泉,,Asia/Shanghai,0
1787746,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,盐城市,,Asia/Shanghai,0
1787765,zh-CN,AS,亚洲,CN,中国,SN,陕西,,,延安,,Asia/Shanghai,0
1787816,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,雅安,,Asia/Shanghai,0
1787824,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,徐州,,Asia/Shanghai,0
1787858,zh-CN,AS,亚洲,CN,中国,JX,江西,,,上饶,,Asia/Shanghai,0
1788046,zh-CN,AS,亚洲,CN,中国,HA,河南,,,将官池,,Asia/Shanghai,0
1788450,zh-CN,AS,亚洲,CN,中国,SX,山西,,,忻州,,Asia/Shanghai,0
1788466,zh-CN,AS,亚洲,CN,中国,HA,河南,,,新华路,,Asia/Shanghai,0
1788522,zh-CN,AS,亚洲,CN,中国,HA,河南,,,汉城,,Asia/Shanghai,0
1788572,zh-CN,AS,亚洲,CN,中国,HA,河南,,,南干道,,Asia/Shanghai,0
1788694,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,连云港市,,Asia/Shanghai,0
1788708,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,新宁,,Asia/Shanghai,0
1788772,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,新靖,,Asia/Shanghai,0
1788797,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,松滋市,,Asia/Shanghai,0
1788852,zh-CN,AS,亚洲,CN,中国,QH,青海省,,,西宁市,,Asia/Shanghai,0
1788927,zh-CN,AS,亚洲,CN,中国,HE,河北省,,,邢台市,,Asia/Shanghai,0
1789065,zh-CN,AS,亚洲,CN,中国,SN,陕西,,,安康,,Asia/Shanghai,0
1789273,zh-CN,AS,亚洲,CN,中国,GD,广东,,,三水,,Asia/Shanghai,0
1789647,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,西昌市,,Asia/Shanghai,0
1789897,zh-CN,AS,亚洲,CN,中国,HA,河南,,,紫荆路,,Asia/Shanghai,0
1790353,zh-CN,AS,亚洲,CN,中国,SN,陕西,,,咸阳市,,Asia/Shanghai,0
1790437,zh-CN,AS,亚洲,CN,中国,GD,广东,,,珠海市,,Asia/Shanghai,0
1790451,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,文星,,Asia/Shanghai,0
1790587,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,襄樊,,Asia/Shanghai,0
1790601,zh-CN,AS,亚洲,CN,中国,HA,河南,,,襄城,,Asia/Shanghai,0
1790630,zh-CN,AS,亚洲,CN,中国,SN,陕西,,,西安,,Asia/Shanghai,0
1790645,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,厦门市,,Asia/Shanghai,0
1790840,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,梧州市,,Asia/Shanghai,0
1790842,zh-CN,AS,亚洲,CN,中国,NX,宁夏回族自治区,,,吴忠,,Asia/Shanghai,0
1790896,zh-CN,AS,亚洲,CN,中国,GX,广西壮族自治区,,,武宣,,Asia/Shanghai,0
1790923,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,无锡市,,Asia/Shanghai,0
1790942,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,梧桐,,Asia/Shanghai,0
1791121,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,常德,,Asia/Shanghai,0
1791247,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,武汉,,Asia/Shanghai,0
1791388,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,温州市,,Asia/Shanghai,0
1791420,zh-CN,AS,亚洲,CN,中国,SX,山西,,,凤城,,Asia/Shanghai,0
1791464,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,温岭,,Asia/Shanghai,0
1791484,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,文江,,Asia/Shanghai,0
1791624,zh-CN,AS,亚洲,CN,中国,SN,陕西,,,长安,,Asia/Shanghai,0
1791636,zh-CN,AS,亚洲,CN,中国,SN,陕西,,,渭南,,Asia/Shanghai,0
1791673,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,威海,,Asia/Shanghai,0
1791681,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,潍坊市,,Asia/Shanghai,0
1792359,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,黄山,,Asia/Shanghai,0
1792520,zh-CN,AS,亚洲,CN,中国,BJ,北京市,,,通州,,Asia/Shanghai,0
1792585,zh-CN,AS,亚洲,CN,中国,FJ,福建省,,,福鼎,,Asia/Shanghai,0
1792621,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,铜陵,,Asia/Shanghai,0
1792692,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,潼川,,Asia/Shanghai,0
1792702,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,桐城市,,Asia/Shanghai,0
1792889,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,天台,,Asia/Shanghai,0
1792892,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,天水,,Asia/Shanghai,0
1792947,zh-CN,AS,亚洲,CN,中国,TJ,天津市,,,天津,,Asia/Shanghai,0
1793015,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,天长市,,Asia/Shanghai,0
1793036,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,滕州,,Asia/Shanghai,0
1793424,zh-CN,AS,亚洲,CN,中国,TJ,天津市,,,塘沽,,Asia/Shanghai,0
1793440,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,塘渡口,,Asia/Shanghai,0
1793475,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,郯城镇,,Asia/Shanghai,0
1793505,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,泰州市,,Asia/Shanghai,0
1793511,zh-CN,AS,亚洲,CN,中国,SX,山西,,,太原,,Asia/Shanghai,0
1793691,zh-CN,AS,亚洲,CN,中国,SX,山西,,,明星,,Asia/Shanghai,0
1793700,zh-CN,AS,亚洲,CN,中国,GD,广东,,,台城,,Asia/Shanghai,0
1793743,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,宿州市,,Asia/Shanghai,0
1793879,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,随州市,,Asia/Shanghai,0
1793900,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,遂宁,,Asia/Shanghai,0
1793961,zh-CN,AS,亚洲,CN,中国,YN,云南,,,嵩阳,,Asia/Shanghai,0
1794903,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,十堰,,Asia/Shanghai,0
1795055,zh-CN,AS,亚洲,CN,中国,GD,广东,,,市桥,,Asia/Shanghai,0
1795300,zh-CN,AS,亚洲,CN,中国,GD,广东,,,石角,,Asia/Shanghai,0
1795565,zh-CN,AS,亚洲,CN,中国,GD,广东,,,深圳市,,Asia/Shanghai,0
1795647,zh-CN,AS,亚洲,CN,中国,ZJ,浙江省,,,嵊州市,,Asia/Shanghai,0
1795749,zh-CN,AS,亚洲,CN,中国,HB,湖北省,,,沙洋,,Asia/Shanghai,0
